index,real,imag,modulus,distance_from_c,cluster
0,0.8609225925552744,0.0,0.8609225925552744,0.0209225925552744,inner
1,0.8469844188454104,0.0,0.8469844188454104,0.006984418845410456,inner
2,0.8320594745614069,0.0,0.8320594745614069,0.007940525438593027,inner
3,0.8181412631595302,0.0,0.8181412631595302,0.021858736840469795,inner
4,0.3504395008620417,0.0,0.3504395008620417,0.4895604991379583,outer
5,-0.12310713667449087,0.0,0.12310713667449087,0.9631071366744909,outer
6,0.05680183457982424,0.0,0.05680183457982424,0.7831981654201757,outer
7,-0.03404792633238821,0.07875493022806113,0.08579976878035576,0.8775888083613957,outer
8,-0.03404792633238821,-0.07875493022806113,0.08579976878035576,0.8775888083613957,outer
9,0.007478402613629875,0.046633049074283846,0.04722888704613006,0.833826631489255,outer
10,0.007478402613629875,-0.046633049074283846,0.04722888704613006,0.833826631489255,outer
11,-0.06638495275509505,0.012251150178593259,0.06750594516777503,0.9064677452957465,outer
12,-0.06638495275509505,-0.012251150178593259,0.06750594516777503,0.9064677452957465,outer
13,-0.033449629155510016,0.020683029574283248,0.03932766714428687,0.8736944788564642,outer
14,-0.033449629155510016,-0.020683029574283248,0.03932766714428687,0.8736944788564642,outer
15,-0.02943373663027305,0.0,0.02943373663027305,0.869433736630273,outer
