scale,rho,upper,full_inf_norm,feedback_product
0.03162277660168379,0.8609225925552744,0.8944013949390892,1.0088191683973122,0.0064
0.03447466065731494,0.8609225925552745,0.8944013949390892,0.9564998761022669,0.0064
0.037583740428844416,0.8609225925552739,0.8944013949390892,0.914025135375782,0.006400000000000001
0.040973210981354154,0.8609225925552759,0.8944013949390892,0.8756390900961895,0.0064
0.0446683592150963,0.8609225925552741,0.8944013949390892,0.8708331677701795,0.006400000000000001
0.04869675251658631,0.8609225925552737,0.8944013949390892,0.8716964052998442,0.0064
0.053088444423098846,0.8609225925552734,0.8944013949390892,0.8726374934679295,0.006400000000000001
0.05787619883491206,0.8609225925552748,0.8944013949390892,0.8736634531947433,0.0064
0.06309573444801933,0.8609225925552724,0.8944013949390892,0.8747819385787272,0.0064
0.06878599123088075,0.8609225925552734,0.8944013949390892,0.876001293999306,0.0064
0.07498942093324558,0.8609225925552754,0.8944013949390892,0.8773306163695267,0.006400000000000003
0.08175230379436502,0.8609225925552741,0.8944013949390892,0.878779823002922,0.0064
0.08912509381337455,0.8609225925552749,0.8944013949390892,0.8803597256009111,0.006399999999999999
0.09716279515771063,0.8609225925552748,0.8944013949390892,0.8822632656216385,0.006400000000000001
0.10592537251772889,0.8609225925552733,0.8944013949390892,0.8850672903768443,0.006400000000000002
0.11547819846894582,0.860922592555274,0.8944013949390892,0.8881241946812337,0.0063999999999999994
0.12589254117941673,0.8609225925552755,0.8944013949390892,0.8914567843485846,0.0064
0.1372460961007562,0.8609225925552741,0.8944013949390892,0.8950899219234132,0.0063999999999999994
0.14962356560944332,0.8609225925552743,0.8944013949390892,0.8990507121661929,0.0064
0.16311729092278385,0.8609225925552758,0.8944013949390892,0.9033687042664619,0.0064
0.1778279410038923,0.8609225925552739,0.8944013949390892,0.9080761122924167,0.0064
0.19386526359522072,0.8609225925552737,0.8944013949390892,0.9132080555216417,0.006400000000000001
0.21134890398366465,0.8609225925552739,0.8944013949390892,0.9188028204459437,0.0064
0.2304092976055845,0.8609225925552727,0.8944013949390892,0.9249021464049582,0.006400000000000001
0.25118864315095796,0.8609225925552741,0.8944013949390892,0.9315515369794777,0.0063999999999999994
0.27384196342643613,0.8609225925552748,0.8944013949390892,0.9388005994676306,0.0064
0.29853826189179594,0.8609225925552747,0.8944013949390892,0.9467034149765458,0.0063999999999999994
0.32546178349804583,0.860922592555275,0.8944013949390892,0.9553189418905458,0.0064
0.35481338923357547,0.8609225925552756,0.8944013949390892,0.9647114557259153,0.0063999999999999994
0.38681205463305207,0.8609225925552745,0.8944013949390892,0.9749510286537478,0.0064
0.4216965034285822,0.8609225925552749,0.8944013949390892,0.9861140522683175,0.0063999999999999994
0.459726988530872,0.8609225925552743,0.8944013949390892,0.9982838075010501,0.006400000000000001
0.5011872336272722,0.8609225925552759,0.8944013949390892,1.0115510859318984,0.006400000000000002
0.5463865498818543,0.8609225925552744,0.8944013949390892,1.0260148671333646,0.0064
0.5956621435290104,0.8609225925552754,0.8944013949390892,1.0417830571004545,0.0063999999999999994
0.6493816315762113,0.8609225925552741,0.8944013949390892,1.058973293275559,0.0064
0.7079457843841377,0.8609225925552736,0.8944013949390892,1.0777138221740952,0.006400000000000001
0.7717915155850124,0.8609225925552759,0.8944013949390892,1.098144456158375,0.006400000000000001
0.8413951416451951,0.860922592555274,0.8944013949390892,1.1204176164976336,0.006400000000000001
0.9172759353897794,0.8609225925552746,0.8944013949390892,1.1446994704959004,0.0063999999999999994
1.0,0.8609225925552744,0.8944013949390892,1.1711711711711712,0.0063999999999999994
1.0901844923851274,0.8609225925552748,0.8944013949390892,1.200030208734412,0.0063999999999999994
1.1885022274370183,0.8609225925552743,0.8944013949390892,1.231491883951017,0.0064
1.2956866975170196,0.8609225925552748,0.8944013949390892,1.2657909143766175,0.0064
1.412537544622754,0.8609225925552755,0.8944013949390892,1.3031831854504523,0.0064
1.539926526059492,0.8609225925552747,0.8944013949390892,1.3439476595102087,0.006400000000000001
1.6788040181225599,0.8609225925552748,0.8944013949390892,1.3883884569703904,0.006400000000000001
1.830206106311056,0.8609225925552746,0.8944013949390892,1.436837125190709,0.0063999999999999994
1.9952623149688788,0.8609225925552755,0.8944013949390892,1.4896551119612123,0.006400000000000001
2.1752040340195222,0.8609225925552751,0.8944013949390892,1.5472364620574184,0.0063999999999999994
2.371373705661655,0.860922592555275,0.8944013949390892,1.6100107569829007,0.006400000000000002
2.58523483956219,0.8609225925552741,0.8944013949390892,1.678446319831072,0.0064
2.8183829312644537,0.8609225925552744,0.8944013949390892,1.7530537091757963,0.006400000000000001
3.0725573652674454,0.8609225925552751,0.8944013949390892,1.8343895280567537,0.0064
3.3496543915782757,0.860922592555274,0.8944013949390892,1.9230605764762194,0.0064
3.651741272548377,0.8609225925552747,0.8944013949390892,2.019728378386652,0.006400000000000001
3.981071705534973,0.8609225925552747,0.8944013949390892,2.125114116942363,0.006399999999999999
4.340102636447436,0.8609225925552734,0.8944013949390892,2.2400040148343505,0.0063999999999999994
4.731512589614803,0.8609225925552747,0.8944013949390892,2.3652551998479083,0.006400000000000001
5.158221650723056,0.8609225925552759,0.8944013949390892,2.501802099402549,0.006400000000000001
5.623413251903491,0.860922592555273,0.8944013949390892,2.6506634117802887,0.0064
6.130557921498208,0.8609225925552749,0.8944013949390892,2.812949706050598,0.006400000000000001
6.683439175686142,0.8609225925552739,0.8944013949390892,2.9898717073907366,0.0064
7.286181745132274,0.8609225925552757,0.8944013949390892,3.182749329613499,0.0064
7.943282347242813,0.8609225925552749,0.8944013949390892,3.3930215222888718,0.0064
8.659643233600654,0.8609225925552751,0.8944013949390892,3.622257005923381,0.0064
9.440608762859236,0.860922592555275,0.8944013949390892,3.8721659752861273,0.006399999999999999
10.292005271944275,0.8609225925552755,0.8944013949390892,4.144612858193339,0.0063999999999999994
11.220184543019629,0.8609225925552739,0.8944013949390892,4.441630224937452,0.0064
12.232071190499314,0.8609225925552754,0.8944013949390892,4.765433952130952,0.0064
13.33521432163324,0.8609225925552735,0.8944013949390892,5.118439754093808,0.0064
14.537843856076622,0.8609225925552758,0.8944013949390892,5.50328120511569,0.0064
15.848931924611126,0.8609225925552736,0.8944013949390892,5.922829387046733,0.0064
17.278259805078626,0.8609225925552728,0.8944013949390892,6.380214308796332,0.0064
18.836490894898002,0.8609225925552745,0.8944013949390892,6.8788482575385315,0.0064
20.53525026457146,0.8609225925552726,0.8944013949390892,7.422451255834039,0.0064
22.3872113856834,0.8609225925552739,0.8944013949390892,8.01507881458986,0.006400000000000001
24.406190680419787,0.860922592555276,0.8944013949390892,8.661152188905504,0.006400000000000002
26.607250597988084,0.8609225925552741,0.8944013949390892,9.365491362527358,0.0064
29.00681198693153,0.8609225925552745,0.8944013949390892,10.133351006989262,0.006400000000000001
31.622776601683793,0.8609225925552736,0.8944013949390892,10.970459683709986,0.0063999999999999994
