theta,rho,row_sum_error,P_inf_norm,inner_count,outer_count,annulus_count,family_lower,family_upper
0.0,0.9951593871107954,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.005,0.9951688465817726,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.01,0.9951781920586786,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.015,0.995187397807523,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.02,0.9951964402436321,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.025,0.9952052982355977,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.03,0.9952139533294057,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.035,0.9952223898909978,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.04,0.9952305951697888,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.045,0.9952385592890277,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.05,0.9952462751714232,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.055,0.995253738410319,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.06,0.9952609470973648,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.065,0.9952679016179038,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.07,0.9952746044246337,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.075,0.9952810597992247,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.08,0.995287273610303,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.085,0.9952932530747756,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.09,0.9952990065281208,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.095,0.9953045432078355,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.1,0.9953098730529932,0.0,0.6500000000000001,16,16,0,0.948499056600415,1.009793704748116
0.105,0.9953150065218418,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.11,0.9953199544283331,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.115,0.9953247277978646,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.12,0.9953293377417972,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.125,0.9953337953500089,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.13,0.9953381116003404,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.135,0.9953422972835896,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.14,0.9953463629427427,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
0.145,0.99535031882485,0.0,0.6499999999999999,16,16,0,0.948499056600415,1.009793704748116
0.15,0.99535417484421,0.0,0.65,16,16,0,0.948499056600415,1.009793704748116
