c,rho_min,rho_max,upper,lower,symmetric_upper,separated,regime
0.58,0.5999754714240292,0.6014692199879496,0.6517261752992876,,,0,universal_recovery
0.585,0.6049891294588886,0.6064648869643832,0.6560590570137937,,,0,universal_recovery
0.59,0.6100027052620207,0.611460611991221,0.660415945787923,,,0,universal_recovery
0.595,0.6150161920015057,0.6164563990264316,0.6647957480863501,,,0,universal_recovery
0.6,0.620029583568706,0.6214522514617999,0.6691974234837422,,,0,universal_recovery
0.605,0.6250428745212048,0.6264481721781633,0.6736199825562944,,,0,universal_recovery
0.61,0.6300560600299124,0.631444163595537,0.6780624847486569,,,0,universal_recovery
0.615,0.6350691358300526,0.6364402277186163,0.6825240362394585,,,0,universal_recovery
0.62,0.6400820981757669,0.6414363661780952,0.6870037878244408,,,0,universal_recovery
0.625,0.6450949437980856,0.6464325802681854,0.691500932832574,,,0,universal_recovery
0.63,0.6501076698660485,0.6514288709806868,0.6960147050873544,,,0,universal_recovery
0.635,0.6551202739507225,0.656425239035922,0.7005443769227853,,,0,universal_recovery
0.6399999999999999,0.6601327539919427,0.6614216849108424,0.705089257261219,,,0,universal_recovery
0.645,0.6651451082675578,0.6664182088645256,0.709648689758295,,,0,universal_recovery
0.6499999999999999,0.6701573353650185,0.6714148109613615,0.7142220510185595,,,0,universal_recovery
0.6549999999999999,0.675169434155114,0.676411491092076,0.7188087488839953,0.5526556443707461,0.7573443556292537,1,universal_recovery
0.6599999999999999,0.680181403767728,0.6814082489928286,0.7234082207965582,0.5637228132326899,0.7562771867673099,1,universal_recovery
0.6649999999999999,0.6851932435694444,0.6864050842625374,0.7280199322349037,0.5729436171968945,0.7570563828031054,1,universal_recovery
0.6699999999999999,0.6902048739735428,0.6914019963786091,0.7326433752247374,0.5812310562561764,0.7587689437438234,1,universal_recovery
0.6749999999999999,0.6952163578863679,0.6963989847112019,0.737278066921641,0.5889354390525167,0.7610645609474832,1,universal_recovery
