n,M,c,eps,q,alpha,b_min,b_max,permutation_shift,rho,stable,family_lower,family_upper
16,0.65,0.982,0.0,0.010000000000000002,0.1,0.024,0.1,9,0.9951593871107954,1,0.948499056600415,1.009793704748116
16,0.65,0.982,0.0,0.010000000000000002,0.1,0.024,0.1,8,1.0007141342930006,0,0.948499056600415,1.009793704748116
