n,p,sample,rho,lower,upper,symmetric_upper,full_inf_norm,P_inf_norm,C_deviation_inf_norm,feedback_product,C_deviation_nonnormality,inner_count,outer_count,annulus_count
8,3,0,0.856474518599994,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9053265162599807,0.45,0.04000000000000004,0.0064,0.8875259424304186,3,8,0
8,3,1,0.8453877350591634,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9278115430645688,0.44999999999999996,0.03999999999999998,0.0064,1.0082945616165906,3,8,0
8,3,2,0.8465965189806414,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9986619146837691,0.44999999999999996,0.039999999999999966,0.006400000000000002,1.1468672239063895,3,8,0
8,3,3,0.8536679774354999,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.913102471327305,0.44999999999999996,0.040000000000000015,0.0063999999999999994,1.0800322819034265,3,8,0
8,3,4,0.8536458134338896,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8720890505541953,0.45000000000000007,0.04000000000000001,0.006400000000000001,0.7104542820354935,3,8,0
8,3,5,0.8711899145527517,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.884384064123863,0.45,0.040000000000000036,0.0063999999999999994,0.5766025463653544,3,8,0
8,3,6,0.8435862755200447,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9877327189022225,0.45000000000000007,0.04,0.0064,0.9292904997873815,3,8,0
8,3,7,0.8487273922017691,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9190370396915348,0.45000000000000007,0.04000000000000004,0.006400000000000001,1.3397183298987971,3,8,0
8,3,8,0.8604315171392587,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.1778569550157791,0.44999999999999996,0.03999999999999999,0.0064,1.074071223016398,3,8,0
8,3,9,0.8619712052372532,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.0625165495385025,0.45,0.04000000000000003,0.006400000000000001,0.8905592142077244,3,8,0
8,3,10,0.8489924003007479,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8975089297051613,0.45,0.04000000000000001,0.006400000000000002,1.220830976698381,3,8,0
8,3,11,0.8546270785702995,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8958231032384334,0.4499999999999999,0.04000000000000001,0.006400000000000001,0.8783641936585111,3,8,0
8,3,12,0.8559747748136244,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9041470951395268,0.45000000000000007,0.04000000000000002,0.0063999999999999994,0.7059918807765039,3,8,0
8,3,13,0.8351899311946931,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8871164936472071,0.45,0.03999999999999998,0.006400000000000001,0.49761898222610873,3,8,0
8,3,14,0.872541590577996,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9030984417202933,0.45000000000000007,0.03999999999999995,0.006400000000000001,0.3746926059554063,3,8,0
8,3,15,0.8551064248642714,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.0935166430596988,0.45000000000000007,0.040000000000000036,0.006400000000000002,1.2269334834071284,3,8,0
8,3,16,0.8775927054088701,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9523953372956006,0.45,0.040000000000000036,0.0063999999999999994,0.22405853915498944,3,8,0
8,3,17,0.8601416342289119,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9016225716829346,0.45000000000000007,0.040000000000000036,0.006400000000000001,0.5422472009367064,3,8,0
8,3,18,0.878907592659292,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8871901510486859,0.45000000000000007,0.04000000000000001,0.006399999999999999,0.19884573101349673,3,8,0
8,3,19,0.8367672513795956,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9314144294402689,0.45000000000000007,0.039999999999999966,0.0064,0.6021027001181407,3,8,0
8,3,20,0.8740390958437251,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9035957747190309,0.45000000000000007,0.04000000000000001,0.0063999999999999994,0.5031930416962505,3,8,0
8,3,21,0.8310047624115529,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9919487331173625,0.45000000000000007,0.03999999999999996,0.006400000000000002,0.43704819993340116,3,8,0
8,3,22,0.8748510063537438,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9137124077295259,0.44999999999999996,0.04000000000000004,0.006400000000000001,0.3782151549333478,3,8,0
8,3,23,0.851769052513227,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9054793070609864,0.44999999999999996,0.040000000000000036,0.006400000000000002,0.8425154683275344,3,8,0
8,3,24,0.8524129606611832,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9734545576937161,0.45,0.04000000000000005,0.0064,0.9932889936079663,3,8,0
8,3,25,0.8341822713758078,0.7806438241627338,0.8944013949390892,0.8993561758372661,1.2971413201734832,0.44999999999999996,0.04000000000000004,0.0064,0.6567526805798573,3,8,0
8,3,26,0.8578814066191822,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9029868126788116,0.45,0.04000000000000002,0.006400000000000002,1.17499858076982,3,8,0
8,3,27,0.8463702758428634,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8962446707021648,0.44999999999999996,0.039999999999999994,0.0063999999999999994,1.280266076515803,3,8,0
8,3,28,0.8437296256802861,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.8820679190299009,0.45000000000000007,0.03999999999999998,0.0063999999999999994,0.6983729152568499,3,8,0
8,3,29,0.8510668155631539,0.7806438241627338,0.8944013949390892,0.8993561758372661,0.9497768030653803,0.45,0.03999999999999995,0.0063999999999999994,1.1534907383064148,3,8,0
